
3Ds Max,7
Ландшафтный Дизайн 3D,21
Adobe Experience Design,23
Adobe Fresco,12
Adobe Illustrator,17
Adobe InDesign,14
Adobe Photoshop,15
Adobe Spark,11
Adobe XD,8
Affinity Designer,17
Affinity Photo,14
Archicad,8
Arnold,
AutoCAD,7
Autodesk 3ds Max,16
Autodesk Maya,13
Autodesk SketchBook,19
Autodesk Sketchbook Pro,23
Axure RP ,9
Blender,7
Canva,5
CATIA,5
Chief Architect Software,24
Cinema 4D,9
Civil 3D,8
Clip Studio Paint,17
Coolors,7
CorelDRAW,9
CorelDRAW Graphics Suite,24
Design Gradients,16
Figma,5
FontCreator,11
FontForge,9
FontLab,7
Garden Planner,14
GIMP ,5
Glyphs,6
Gravit Designer,15
HTML и CSS ,11
Inkscape ,9
KeyShot,7
Limion,6
Master Landscape & Home Design от Punch,39
Midjourney,10
NVIDIA Holodeck,15
Planner 5D,10
Planoplan,9
PlantFinde,10
Procreate,9
Redshift,8
Revit,5
Rhino 6,7
RoboFont,8
Sketch,6
Sketchbox,9
SketchUp,8
Spatial,7
STAGE,5
Sublime Text ,13
Substance Painter,17
The Wild,8
Tilda,5
V-Ray,5
Visual Studio Code ,19
Vuforia,7
Webflow,7
X-designer,10
ZBrush,6
Zeplin,6
